Date,Open,High,Low,Close,Adj Close,Volume
2019-08-22,1162.071167,1162.116821,1132.766846,1139.944336,1119.930054,7015976
2019-08-23,1132.858276,1174.003174,1121.429077,1166.551392,1146.069946,10653957
2019-08-26,1183.146484,1183.146484,1151.144897,1158.276733,1137.940674,9601252
2019-08-27,1174.917480,1174.917480,1153.156372,1165.637085,1145.171753,14200953
2019-08-28,1164.631348,1171.260254,1148.447632,1155.076538,1134.796631,5802744
2019-08-29,1148.813354,1152.287842,1129.475220,1135.372681,1115.438721,9445111
2019-08-30,1138.801392,1146.938965,1116.400269,1141.590088,1121.546875,12367620
2019-09-03,1135.829834,1136.515625,1097.199219,1103.051025,1083.684570,9365309
2019-09-04,1097.702148,1101.999512,1084.444336,1098.250732,1078.968506,16474697
2019-09-05,1103.416748,1109.268433,1091.073242,1095.919189,1076.678101,11497743
2019-09-06,1099.942261,1123.714966,1092.856201,1117.771729,1098.146729,11593409
2019-09-09,1116.080200,1127.372192,1109.222778,1117.497437,1097.877197,5873964
2019-09-11,1117.771729,1133.772583,1117.771729,1128.652344,1108.836304,6063950
2019-09-12,1129.200928,1134.183960,1102.411011,1106.662598,1087.232666,5940002
2019-09-13,1108.171265,1123.257690,1103.508179,1120.606201,1100.931519,6473857
2019-09-16,1087.141602,1114.662964,1084.489990,1107.028320,1087.592041,10273865
2019-09-17,1107.256958,1107.256958,1091.256104,1094.867676,1075.644775,7820386
2019-09-18,1101.725220,1112.102905,1094.639160,1102.411011,1083.055786,7466954
2019-09-19,1104.376709,1106.068237,1072.192261,1078.043945,1059.116455,6883111
2019-09-20,1086.181519,1161.111084,1073.700928,1146.893188,1126.756958,24082780
2019-09-23,1164.997070,1171.260254,1129.200928,1133.041138,1113.148193,10805422
2019-09-24,1137.064209,1187.535278,1136.286987,1169.157227,1148.630127,17479487
2019-09-25,1174.003174,1184.060913,1160.151123,1169.934448,1149.393677,9096135
2019-09-26,1181.317871,1187.535278,1173.546021,1185.706665,1164.888916,9175228
2019-09-27,1181.775024,1202.347534,1174.003174,1196.907227,1175.892822,9529331
2019-09-30,1197.775879,1221.319946,1193.707031,1218.119751,1196.733032,12631885
2019-10-01,1222.462891,1227.034546,1182.506470,1193.112793,1172.165039,8960192
2019-10-03,1175.831909,1202.073242,1171.534546,1198.735962,1177.689453,6762425
2019-10-04,1206.827759,1214.782471,1192.152710,1196.038574,1175.039551,7496126
2019-10-07,1196.038574,1207.650635,1190.186890,1197.867310,1176.836060,5030792
2019-10-09,1196.587280,1216.016846,1181.775024,1211.262207,1189.995728,8794323
2019-10-10,1211.490845,1251.721436,1207.833496,1246.006958,1224.130493,17503195
2019-10-11,1246.875488,1248.612793,1222.051392,1236.726440,1215.012939,8298563
2019-10-14,1248.018433,1248.018433,1235.126343,1241.663818,1219.863647,6697137
2019-10-15,1245.778320,1252.635864,1238.280762,1247.286987,1225.388062,4836395
2019-10-16,1252.544434,1261.459106,1246.875488,1254.784546,1232.754028,9701830
2019-10-17,1257.207520,1279.151489,1254.464478,1276.865601,1254.447266,8019470
2019-10-18,1283.723145,1305.575684,1278.877197,1295.015137,1272.278198,14060975
2019-10-22,1302.924072,1313.758911,1283.128784,1293.003662,1270.302002,13893251
2019-10-23,1294.969482,1303.792725,1264.659302,1273.116821,1250.764282,9223080
2019-10-24,1280.980103,1317.919189,1267.768066,1313.393188,1290.333618,11321244
2019-10-25,1317.644897,1317.964844,1290.352051,1308.593018,1285.617676,6769978
2019-10-27,1317.553467,1321.210815,1307.495728,1311.381714,1288.357544,1507420
2019-10-29,1321.667969,1353.212402,1318.559204,1341.371826,1317.821045,12884252
2019-10-30,1353.212402,1357.372681,1335.200073,1352.389526,1328.645264,8170683
2019-10-31,1356.869751,1362.035767,1336.480103,1338.903076,1315.395508,9731870
2019-11-01,1330.354126,1336.571533,1317.553467,1332.091309,1308.703491,6952150
2019-11-04,1340.320313,1344.983398,1321.302246,1332.777100,1309.377197,7031717
2019-11-05,1337.760254,1343.109009,1317.553467,1323.313721,1300.079956,6342678
2019-11-06,1319.107788,1322.536499,1306.124268,1311.975952,1288.941406,7312752
2019-11-07,1312.067505,1337.668701,1309.507324,1333.645752,1310.230591,7042019
2019-11-08,1324.868164,1334.605713,1317.827759,1321.667969,1298.463135,6009676
2019-11-11,1315.816162,1320.525024,1300.683960,1305.484253,1282.563599,5678920
2019-11-13,1307.495728,1349.463623,1307.495728,1346.171997,1322.536987,12612874
2019-11-14,1349.555054,1354.675293,1331.085571,1337.440186,1313.958374,7129066
